collectID,relationship,author
26668,藏品作者,
26669,藏品作者,
26670,藏品作者,
26671,藏品作者,
26672,藏品作者,
26673,藏品作者,
26674,藏品作者,
26675,藏品作者,
26676,藏品作者,
26677,藏品作者,
26678,藏品作者,
26679,藏品作者,
26680,藏品作者,
26681,藏品作者,
26682,藏品作者,
26683,藏品作者,
26684,藏品作者,
26685,藏品作者,
26686,藏品作者,
26687,藏品作者,
26688,藏品作者,
26689,藏品作者,
26690,藏品作者,
26691,藏品作者,
26692,藏品作者,
26693,藏品作者,
26694,藏品作者,
26695,藏品作者,
26696,藏品作者,
26697,藏品作者,
26698,藏品作者,
26699,藏品作者,
26700,藏品作者,
26701,藏品作者,
26702,藏品作者,
26703,藏品作者,
26704,藏品作者,
26705,藏品作者,
26706,藏品作者,
26707,藏品作者,
26708,藏品作者,
26709,藏品作者,
26710,藏品作者,
26711,藏品作者,
26712,藏品作者,
26713,藏品作者,
26714,藏品作者,
26715,藏品作者,
26716,藏品作者,
26717,藏品作者,
26718,藏品作者,
26719,藏品作者,
26720,藏品作者,
26721,藏品作者,
26722,藏品作者,
26723,藏品作者,
26724,藏品作者,
26725,藏品作者,
26726,藏品作者,
26727,藏品作者,
26728,藏品作者,
26729,藏品作者,
26730,藏品作者,
26731,藏品作者,
26732,藏品作者,
26733,藏品作者,
26734,藏品作者,
26735,藏品作者,
26736,藏品作者,
26737,藏品作者,
26738,藏品作者,
26739,藏品作者,
26740,藏品作者,
26741,藏品作者,
26742,藏品作者,
26743,藏品作者,
26744,藏品作者,
26745,藏品作者,
26746,藏品作者,
26747,藏品作者,
26748,藏品作者,
26749,藏品作者,
26750,藏品作者,
26751,藏品作者,
26752,藏品作者,
26753,藏品作者,
26754,藏品作者,
26755,藏品作者,
26756,藏品作者,
26757,藏品作者,
26758,藏品作者,
26759,藏品作者,
26760,藏品作者,
26761,藏品作者,
26762,藏品作者,
26763,藏品作者,
26764,藏品作者,
26765,藏品作者,
26766,藏品作者,
26767,藏品作者,
26768,藏品作者,
26769,藏品作者,
26770,藏品作者,
26771,藏品作者,
26772,藏品作者,文伯仁
26773,藏品作者,
26774,藏品作者,
26775,藏品作者,
26776,藏品作者,
26777,藏品作者,
26778,藏品作者,张弼
26779,藏品作者,文征明
26780,藏品作者,
26781,藏品作者,
26782,藏品作者,高瀔
26783,藏品作者,康有为
26784,藏品作者,方琮
26785,藏品作者,李流芳
26786,藏品作者,蓝瑛
26787,藏品作者,
26788,藏品作者,
26789,藏品作者,
26790,藏品作者,
26791,藏品作者,胡文明
26792,藏品作者,
26793,藏品作者,朱鹤年
26794,藏品作者,傅雯
26795,藏品作者,钱杜
26796,藏品作者,高其佩
26797,藏品作者,张崟
26798,藏品作者,尹戎生
26799,藏品作者,丁衍庸
26800,藏品作者,潘玉良
26801,藏品作者,周刚
26802,藏品作者,陈之佛
26803,藏品作者,徐悲鸿
26804,藏品作者,李芳
26805,藏品作者,庞薰琹
26806,藏品作者,庞薰琹
26807,藏品作者,王震
26808,藏品作者,于非闇
26809,藏品作者,朱德群
26810,藏品作者,张大千
26811,藏品作者,陈树人
26812,藏品作者,姚华
26813,藏品作者,吴冠忠
26814,藏品作者,张大千
26815,藏品作者,王震
26816,藏品作者,林风眠
26817,藏品作者,庞薰琹
26818,藏品作者,白明
26819,藏品作者,齐白石
26820,藏品作者,白明
26821,藏品作者,徐悲鸿
26822,藏品作者,魏立刚
26823,藏品作者,齐白石
26824,藏品作者,齐白石
26825,藏品作者,张大千
26826,藏品作者,王克平
26827,藏品作者,常玉
26828,藏品作者,潘玉良
26829,藏品作者,常玉
26830,藏品作者,常玉
26831,藏品作者,黄宾虹
26832,藏品作者,朱德群
26833,藏品作者,溥儒
26834,藏品作者,魏立刚
26835,藏品作者,齐白石
26836,藏品作者,林风眠
26837,藏品作者,陈之佛
26838,藏品作者,常玉
26839,藏品作者,沈尹默
26840,藏品作者,傅抱石
26841,藏品作者,马德升
26842,藏品作者,马德升
26843,藏品作者,姚华
26844,藏品作者,傅抱石
26845,藏品作者,张大千
26846,藏品作者,nan
26847,藏品作者,nan
26848,藏品作者,nan
26849,藏品作者,nan
26850,藏品作者,nan
26851,藏品作者,nan
26852,藏品作者,nan
26853,藏品作者,nan
26854,藏品作者,nan
26855,藏品作者,nan
26856,藏品作者,nan
26857,藏品作者,nan
26858,藏品作者,nan
26859,藏品作者,nan
26860,藏品作者,nan
26861,藏品作者,nan
26862,藏品作者,nan
26863,藏品作者,nan
26864,藏品作者,nan
26865,藏品作者,nan
26866,藏品作者,nan
26867,藏品作者,nan
26868,藏品作者,nan
26869,藏品作者,nan
26870,藏品作者,nan
26871,藏品作者,nan
26872,藏品作者,nan
26873,藏品作者,nan
26874,藏品作者,nan
26875,藏品作者,nan
26876,藏品作者,nan
26877,藏品作者,nan
26878,藏品作者,nan
26879,藏品作者,nan
26880,藏品作者,nan
26881,藏品作者,nan
26882,藏品作者,nan
26883,藏品作者,nan
26884,藏品作者,nan
26885,藏品作者,nan
26886,藏品作者,nan
26887,藏品作者,nan
26888,藏品作者,nan
26889,藏品作者,nan
26890,藏品作者,nan
26891,藏品作者,nan
26892,藏品作者,nan
26893,藏品作者,nan
26894,藏品作者,nan
26895,藏品作者,nan
26896,藏品作者,nan
26897,藏品作者,nan
26898,藏品作者,nan
26899,藏品作者,nan
26900,藏品作者,nan
26901,藏品作者,中文学校
26902,藏品作者,中文学校
